22548.35	24151.95	19290.20	17385.08	18615.89	20561.37	18674.43	22372.94	21174.04	14152.45	
39922.84	33072.75	29437.65	33434.50	29165.27	34086.84	23932.17	32209.09	35122.56	25355.60	
24058.56	16698.92	22314.47	24101.89	18568.92	27411.03	12127.64	21913.95	22428.95	17607.71	
17804.88	18671.09	24278.33	19544.45	19790.35	23201.07	16527.79	23172.53	23016.52	16418.01	
28671.41	24749.17	30859.98	21949.93	22131.69	28440.88	18196.81	29964.43	25735.45	18880.72	
25529.88	26281.26	24517.63	24928.10	25764.36	21824.19	24936.41	24615.10	29657.06	22662.27	
27290.52	25338.58	22729.38	27000.85	24260.64	30144.27	16607.29	24978.81	31132.47	15242.58	
23879.13	26479.74	33234.59	24152.57	27714.79	28132.83	22320.43	28843.43	32024.83	17567.78	
22543.19	22494.02	20995.35	22997.08	18158.70	19922.10	19522.37	21402.48	20966.29	16519.06	
25607.91	21840.04	16670.26	20396.24	15820.34	17858.02	16649.99	17662.55	19866.39	16701.50	
